,acerolas,apples,apricots,avocados,bananas,blackberries,blueberries,cantaloupes,cherries,coconuts,figs,grapefruits,grapes,guava,kiwifruit,lemons,limes,mangos,olives,oranges,passionfruit,peaches,pears,pineapples,plums,pomegranates,raspberries,strawberries,tomatoes,watermelons,accuracy,macro avg,weighted avg
precision,0.1153846153846154,0.05263157894736842,0.0,0.3333333333333333,0.75,0.2857142857142857,0.8333333333333334,0.18181818181818185,0.16666666666666666,0.3333333333333333,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.0,0.5,0.0,0.0,0.1111111111111111,0.08695652173913042,0.0,0.09375,0.5,0.15384615384615385,0.16666666666666666,0.4,0.20164609053497945,0.2143737482853616,0.2226412850690685
recall,0.5,0.1,0.0,0.6666666666666666,0.5454545454545454,0.2222222222222222,0.625,0.5,0.125,0.3333333333333333,0.16666666666666666,0.125,0.0,0.0,0.0,0.0,0.14285714285714285,0.125,0.0,0.5555555555555556,0.0,0.0,0.125,0.2222222222222222,0.0,0.42857142857142855,0.1,0.16666666666666666,0.08333333333333333,0.25,0.20164609053497945,0.2036183261183261,0.20164609053497945
f1-score,0.1875,0.06896551724137931,0.0,0.4444444444444444,0.631578947368421,0.25,0.7142857142857143,0.26666666666666666,0.14285714285714288,0.3333333333333333,0.25,0.18181818181818185,0.0,0.0,0.0,0.0,0.16666666666666666,0.18181818181818185,0.0,0.5263157894736842,0.0,0.0,0.1176470588235294,0.125,0.0,0.15384615384615385,0.16666666666666669,0.16,0.1111111111111111,0.3076923076923077,0.20164609053497945,0.18294046280378606,0.18726915284230367
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,6.0,9.0,5.0,7.0,8.0,9.0,8.0,7.0,10.0,12.0,12.0,8.0,0.20164609053497945,243.0,243.0
precision,0.08695652173913042,0.42857142857142855,0.0,0.0,0.6666666666666666,0.0,0.8,0.14285714285714285,0.0,0.25,0.0,0.13333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.21428571428571427,0.16666666666666666,0.0,0.3636363636363637,0.0,0.4,0.3333333333333333,1.0,0.1893004115226337,0.18287690570299267,0.20223614877399096
recall,0.3333333333333333,0.3,0.0,0.0,0.18181818181818185,0.0,0.5,0.5,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.375,0.375,0.0,0.5714285714285714,0.0,0.16666666666666666,0.5,0.375,0.1893004115226337,0.18371933621933625,0.1893004115226337
f1-score,0.13793103448275862,0.3529411764705882,0.0,0.0,0.2857142857142857,0.0,0.6153846153846154,0.22222222222222224,0.0,0.3333333333333333,0.0,0.2105263157894737,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.2727272727272727,0.2307692307692308,0.0,0.4444444444444444,0.0,0.2352941176470588,0.4,0.5454545454545454,0.1893004115226337,0.1562247531479943,0.1671241533173427
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.1893004115226337,243.0,243.0
precision,0.16666666666666666,0.1111111111111111,0.05,0.5,0.6,0.5,0.7142857142857143,0.3,0.0625,0.16666666666666666,0.5,0.0,0.0,0.0,0.2,0.0,1.0,0.0,0.2,0.3333333333333333,0.0,0.16666666666666666,0.14285714285714285,0.0,0.0,0.1176470588235294,0.0,0.08333333333333333,0.125,0.3333333333333333,0.16049382716049382,0.21244670090258325,0.20771652968457613
recall,0.16666666666666666,0.1,0.42857142857142855,0.3333333333333333,0.2727272727272727,0.3333333333333333,0.625,0.375,0.125,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0,0.1111111111111111,0.0,0.2857142857142857,0.0,0.16666666666666666,0.3333333333333333,0.0,0.14285714285714285,0.125,0.0,0.0,0.2857142857142857,0.0,0.08333333333333333,0.08333333333333333,0.125,0.16049382716049382,0.16672318422318416,0.16049382716049382
f1-score,0.16666666666666666,0.10526315789473684,0.08955223880597016,0.4,0.375,0.4,0.6666666666666666,0.3333333333333333,0.08333333333333333,0.2222222222222222,0.25,0.0,0.0,0.0,0.14285714285714285,0.0,0.4444444444444445,0.0,0.1818181818181818,0.3333333333333333,0.0,0.15384615384615385,0.13333333333333333,0.0,0.0,0.16666666666666666,0.0,0.08333333333333333,0.1,0.18181818181818185,0.16049382716049382,0.16711627967912335,0.1636091917824095
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.16049382716049382,243.0,243.0
precision,0.0,0.25,0.0,0.25,0.5,0.0,0.6,0.2857142857142857,0.08,0.5714285714285714,0.0,0.0,0.0,0.0,0.2857142857142857,0.16666666666666666,0.8,0.25,0.0,0.42857142857142855,0.0,0.2857142857142857,0.16666666666666666,0.07142857142857142,0.0,0.29411764705882354,0.0,0.125,0.07692307692307693,0.6,0.19753086419753085,0.20293151619622204,0.20208894953992992
recall,0.0,0.2,0.0,0.3333333333333333,0.09090909090909093,0.0,0.375,0.75,0.25,0.6666666666666666,0.0,0.0,0.0,0.0,0.2222222222222222,0.14285714285714285,0.5714285714285714,0.125,0.0,0.3333333333333333,0.0,0.2857142857142857,0.25,0.3333333333333333,0.0,0.7142857142857143,0.0,0.08333333333333333,0.08333333333333333,0.375,0.19753086419753085,0.2061916786916787,0.19753086419753085
f1-score,0.0,0.22222222222222224,0.0,0.2857142857142857,0.15384615384615385,0.0,0.4615384615384615,0.4137931034482759,0.12121212121212123,0.6153846153846153,0.0,0.0,0.0,0.0,0.25,0.15384615384615385,0.6666666666666666,0.16666666666666666,0.0,0.375,0.0,0.2857142857142857,0.2,0.1176470588235294,0.0,0.4166666666666667,0.0,0.1,0.08,0.4615384615384615,0.19753086419753085,0.18491523077628555,0.17869627068322386
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,8.0,6.0,9.0,5.0,7.0,8.0,9.0,8.0,7.0,10.0,12.0,12.0,8.0,0.19753086419753085,243.0,243.0
precision,0.2,0.3333333333333333,0.0,0.5,0.2222222222222222,0.0,1.0,0.42857142857142855,0.0,0.25,1.0,0.0,0.0,0.0,0.42857142857142855,0.0,1.0,0.3333333333333333,0.125,0.42857142857142855,0.0,0.42857142857142855,0.1,0.08695652173913043,0.0,0.14705882352941177,0.16666666666666666,0.125,0.125,0.75,0.2222222222222222,0.27262855383699375,0.26157352068280043
recall,0.3333333333333333,0.3,0.0,0.3333333333333333,0.5454545454545454,0.0,0.5,0.375,0.0,0.5,0.16666666666666666,0.0,0.0,0.0,0.3333333333333333,0.0,0.14285714285714285,0.1111111111111111,0.16666666666666666,0.6666666666666666,0.0,0.42857142857142855,0.125,0.25,0.0,0.7142857142857143,0.1,0.16666666666666666,0.08333333333333333,0.375,0.2222222222222222,0.2239093314093314,0.2222222222222222
f1-score,0.25,0.3157894736842105,0.0,0.4,0.3157894736842105,0.0,0.6666666666666666,0.39999999999999997,0.0,0.3333333333333333,0.2857142857142857,0.0,0.0,0.0,0.375,0.0,0.25,0.16666666666666666,0.14285714285714288,0.5217391304347826,0.0,0.42857142857142855,0.11111111111111112,0.12903225806451613,0.0,0.24390243902439024,0.125,0.14285714285714288,0.1,0.5,0.2222222222222222,0.2068010184223296,0.2047314517156578
support,6.0,10.0,7.0,6.0,11.0,9.0,8.0,8.0,8.0,6.0,6.0,8.0,10.0,8.0,9.0,7.0,7.0,9.0,6.0,9.0,5.0,7.0,8.0,8.0,8.0,7.0,10.0,12.0,12.0,8.0,0.2222222222222222,243.0,243.0
